
2024/05/24 (14:06:17) | ===> btop++ v.1.3.2
2024/05/24 (14:06:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (21:43:44) | ===> btop++ v.1.3.2
2024/05/24 (21:43:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/24 (21:44:09) | ===> btop++ v.1.3.2
2024/05/24 (21:44:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (23:15:40) | ===> btop++ v.1.3.2
2024/05/26 (23:15:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/27 (00:51:12) | ===> btop++ v.1.3.2
2024/05/27 (00:51:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (02:58:56) | ===> btop++ v.1.3.2
2024/05/29 (02:58:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (02:59:38) | ===> btop++ v.1.3.2
2024/05/29 (02:59:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (16:38:40) | ===> btop++ v.1.3.2
2024/05/29 (16:38:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (23:08:30) | ===> btop++ v.1.3.2
2024/05/29 (23:08:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
